ga_no,year,month,key_year
3,1962,2,1962
3,1963,2,1963
3,1964,2,1964
3,1965,2,1965
3,1966,2,1966
4,1967,2,1967
4,1968,2,1968
4,1969,2,1969
4,1970,2,1970
5,1971,3,1971
5,1972,3,1972
5,1973,3,1973
5,1974,3,1974
5,1975,3,1975
5,1976,3,1976
6,1977,3,1977
6,1978,3,1978
6,1979,3,1979
7,1980,1,1980
7,1981,1,1981
7,1982,1,1982
7,1983,1,1983
8,1984,12,1984
8,1985,12,1985
8,1986,12,1986
8,1987,12,1987
8,1988,12,1988
9,1989,11,1989
9,1990,11,1990
10,1991,5,1991
10,1992,2,1992
10,1993,2,1993
10,1994,2,1994
10,1995,2,1995
11,1996,4,1996
11,1997,4,1997
12,1998,3,1998
13,1999,9,1999
13,2000,9,2000
13,2001,9,2001
13,2002,9,2002
13,2003,9,2003
14,2004,4,2004
14,2005,4,2005
14,2006,4,2006
14,2007,4,2007
14,2008,4,2008
15,2009,4,2009
15,2010,4,2010
15,2011,4,2011
15,2012,4,2012
15,2013,4,2013
16,2014,4,2014
16,2015,4,2015
16,2016,4,2016
16,2017,4,2017
16,2018,4,2018
17,2019,4,2019
