state,key_year,year,month,sa_no
Jharkhand,2005,2005,2,1
Jharkhand,2009,2009,12,2
Jharkhand,2014,2014,12,3
Nagaland,1964,1964,1,1
Nagaland,1969,1969,2,2
Nagaland,1974,1974,2,3
Nagaland,1977,1977,11,4
Nagaland,1982,1982,11,5
Nagaland,1987,1987,11,6
Nagaland,1989,1989,11,7
Nagaland,1993,1993,2,8
Nagaland,1998,1998,2,9
Nagaland,2003,2003,3,10
Nagaland,2008,2008,3,11
Nagaland,2013,2013,2,12
Goa_Daman_&_Diu,1967,1967,2,1
Goa_Daman_&_Diu,1972,1972,3,2
Goa_Daman_&_Diu,1977,1977,1,3
Goa_Daman_&_Diu,1980,1980,3,4
Goa_Daman_&_Diu,1984,1984,12,5
Goa,1989,1989,11,1
Goa,1994,1994,11,2
Goa,1999,1999,6,3
Goa,2002,2002,6,4
Goa,2007,2007,6,5
Goa,2012,2012,3,6
Goa,2017,2017,3,7
Assam,1962,1962,2,3
Assam,1967,1967,2,4
Assam,1972,1972,3,5
Assam,1978,1978,2,6
Assam,1983,1983,2,7
Assam,1985,1985,12,8
Assam,1991,1991,5,9
Assam,1996,1996,4,10
Assam,2001,2001,5,11
Assam,2006,2006,5,12
Assam,2011,2011,5,13
Assam,2016,2016,5,14
Meghalaya,1972,1972,3,1
Meghalaya,1978,1978,2,2
Meghalaya,1983,1983,2,3
Meghalaya,1988,1988,2,4
Meghalaya,1993,1993,2,5
Meghalaya,1998,1998,2,6
Meghalaya,2003,2003,3,7
Meghalaya,2008,2008,3,8
Meghalaya,2013,2013,2,9
Haryana,1967,1967,2,1
Haryana,1968,1968,5,2
Haryana,1972,1972,3,3
Haryana,1977,1977,10,4
Haryana,1982,1982,5,5
Haryana,1987,1987,6,6
Haryana,1991,1991,5,7
Haryana,1996,1996,5,8
Haryana,2000,2000,2,9
Haryana,2005,2005,2,10
Haryana,2009,2009,10,11
Haryana,2014,2014,10,12
Punjab,1962,1962,2,3
Punjab,1967,1967,2,4
Punjab,1969,1969,2,5
Punjab,1972,1972,3,6
Punjab,1977,1977,10,7
Punjab,1980,1980,5,8
Punjab,1985,1985,5,9
Punjab,1992,1992,2,10
Punjab,1997,1997,2,11
Punjab,2002,2002,2,12
Punjab,2007,2007,2,13
Punjab,2012,2012,3,14
Punjab,2017,2017,3,15
Sikkim,1979,1979,12,1
Sikkim,1985,1985,5,2
Sikkim,1989,1989,11,3
Sikkim,1994,1994,11,4
Sikkim,1999,1999,10,5
Sikkim,2004,2004,5,6
Sikkim,2009,2009,5,7
Sikkim,2014,2014,5,8
Manipur,1967,1967,2,1
Manipur,1972,1972,3,2
Manipur,1974,1974,2,3
Manipur,1980,1980,3,4
Manipur,1984,1984,12,5
Manipur,1990,1990,12,6
Manipur,1995,1995,2,7
Manipur,2000,2000,2,8
Manipur,2002,2002,2,9
Manipur,2007,2007,2,10
Manipur,2012,2012,3,11
Manipur,2017,2017,3,12
Puducherry,1964,1964,8,1
Puducherry,1969,1969,3,2
Puducherry,1974,1974,2,3
Puducherry,1977,1977,10,4
Puducherry,1980,1980,3,5
Puducherry,1985,1985,5,6
Puducherry,1990,1990,2,7
Puducherry,1991,1991,2,8
Puducherry,1996,1996,4,9
Puducherry,2001,2001,5,10
Puducherry,2006,2006,5,11
Puducherry,2011,2011,5,12
Puducherry,2016,2016,5,13
Karnataka,1978,1978,2,1
Karnataka,1983,1983,5,2
Karnataka,1985,1985,5,3
Karnataka,1989,1989,11,4
Karnataka,1994,1994,11,5
Karnataka,1999,1999,10,6
Karnataka,2004,2004,5,7
Karnataka,2008,2008,5,8
Karnataka,2013,2013,5,9
Maharashtra,1962,1962,2,1
Maharashtra,1967,1967,2,2
Maharashtra,1972,1972,3,3
Maharashtra,1978,1978,2,4
Maharashtra,1980,1980,5,5
Maharashtra,1985,1985,2,6
Maharashtra,1990,1990,2,7
Maharashtra,1995,1995,3,8
Maharashtra,1999,1999,10,9
Maharashtra,2004,2004,10,10
Maharashtra,2009,2009,10,11
Maharashtra,2014,2014,10,12
Chhattisgarh,2003,2003,12,1
Chhattisgarh,2008,2008,12,2
Chhattisgarh,2013,2013,12,3
Odisha,1961,1961,2,3
Odisha,1967,1967,2,4
Odisha,1971,1971,3,5
Odisha,1974,1974,2,6
Odisha,1977,1977,10,7
Odisha,1980,1980,6,8
Odisha,1985,1985,5,9
Odisha,1990,1990,2,10
Odisha,1995,1995,3,11
Odisha,2000,2000,2,12
Odisha,2004,2004,5,13
Odisha,2009,2009,5,14
Odisha,2014,2014,5,15
Madras,1962,1962,2,3
Madras,1967,1967,2,4
Andhra_Pradesh,1962,1962,2,3
Andhra_Pradesh,1967,1967,2,4
Andhra_Pradesh,1972,1972,3,5
Andhra_Pradesh,1978,1978,2,6
Andhra_Pradesh,1983,1983,5,7
Andhra_Pradesh,1985,1985,5,8
Andhra_Pradesh,1989,1989,11,9
Andhra_Pradesh,1994,1994,12,10
Andhra_Pradesh,1999,1999,10,11
Andhra_Pradesh,2004,2004,5,12
Andhra_Pradesh,2009,2009,5,13
Andhra_Pradesh,2014,2014,5,14
Gujarat,1962,1962,2,1
Gujarat,1967,1967,2,2
Gujarat,1972,1972,3,3
Gujarat,1975,1975,6,4
Gujarat,1980,1980,5,5
Gujarat,1985,1985,5,6
Gujarat,1990,1990,2,7
Gujarat,1995,1995,2,8
Gujarat,1998,1998,3,9
Gujarat,2002,2002,12,10
Gujarat,2007,2007,12,11
Gujarat,2012,2012,12,12
Himachal_Pradesh,1962,1962,2,1
Himachal_Pradesh,1967,1967,2,2
Himachal_Pradesh,1972,1972,3,3
Himachal_Pradesh,1977,1977,10,4
Himachal_Pradesh,1982,1982,5,5
Himachal_Pradesh,1985,1985,5,6
Himachal_Pradesh,1990,1990,3,7
Himachal_Pradesh,1993,1993,9,8
Himachal_Pradesh,1998,1998,6,9
Himachal_Pradesh,2003,2003,6,10
Himachal_Pradesh,2007,2007,12,11
Himachal_Pradesh,2012,2012,12,12
West_Bengal,1962,1962,2,3
West_Bengal,1967,1967,2,4
West_Bengal,1969,1969,2,5
West_Bengal,1971,1971,3,6
West_Bengal,1972,1972,3,7
West_Bengal,1977,1977,10,8
West_Bengal,1982,1982,5,9
West_Bengal,1987,1987,3,10
West_Bengal,1991,1991,2,11
West_Bengal,1996,1996,2,12
West_Bengal,2001,2001,5,13
West_Bengal,2006,2006,5,14
West_Bengal,2011,2011,2,15
West_Bengal,2016,2016,5,16
Madhya_Pradesh,1962,1962,2,3
Madhya_Pradesh,1967,1967,2,4
Madhya_Pradesh,1972,1972,3,5
Madhya_Pradesh,1977,1977,10,6
Madhya_Pradesh,1980,1980,5,7
Madhya_Pradesh,1985,1985,2,8
Madhya_Pradesh,1990,1990,2,9
Madhya_Pradesh,1993,1993,11,10
Madhya_Pradesh,1998,1998,11,11
Madhya_Pradesh,2003,2003,12,12
Madhya_Pradesh,2008,2008,12,13
Madhya_Pradesh,2013,2013,12,14
Uttar_Pradesh,1962,1962,2,3
Uttar_Pradesh,1967,1967,2,4
Uttar_Pradesh,1969,1969,2,5
Uttar_Pradesh,1974,1974,2,6
Uttar_Pradesh,1977,1977,10,7
